,SEX,TIP,AGE,FO,EDU,DOHOD,PROF,weight
66,1.0,5.0,36.0,2.0,4.0,3.0,7.0,0.8354775639176066
67,1.0,7.0,64.0,1.0,4.0,2.0,1.0,1.060719344760277
68,2.0,5.0,31.0,2.0,5.0,2.0,6.0,1.5077393141874795
69,2.0,1.0,38.0,5.0,5.0,2.0,6.0,1.2300485554805638
70,2.0,3.0,56.0,1.0,3.0,3.0,7.0,2.2661966054928517
71,2.0,1.0,54.0,2.0,4.0,3.0,7.0,1.056425255196043
72,2.0,3.0,49.0,4.0,3.0,3.0,7.0,0.8698566325100863
73,2.0,3.0,75.0,7.0,4.0,3.0,1.0,0.43430083714786116
74,2.0,7.0,52.0,4.0,4.0,3.0,2.0,1.2649620796926886
75,2.0,1.0,35.0,1.0,6.0,4.0,7.0,1.4204957823468085
76,1.0,4.0,32.0,5.0,5.0,3.0,7.0,1.5656723841883133
77,2.0,5.0,75.0,1.0,4.0,3.0,1.0,2.089619314739286
78,1.0,2.0,55.0,7.0,5.0,3.0,2.0,0.3340280842852204
79,1.0,1.0,56.0,6.0,4.0,3.0,7.0,0.3520289265520285
80,1.0,1.0,37.0,3.0,5.0,3.0,7.0,0.7927508611800114
81,2.0,2.0,55.0,3.0,3.0,3.0,5.0,1.4175690005120674
82,1.0,7.0,34.0,3.0,5.0,3.0,7.0,1.5437792325448545
83,1.0,1.0,39.0,1.0,5.0,4.0,5.0,0.695800566912402
84,2.0,1.0,40.0,1.0,5.0,3.0,9.0,1.4204957823468085
85,2.0,3.0,66.0,5.0,5.0,3.0,1.0,1.3674851669758503
86,2.0,3.0,61.0,1.0,5.0,4.0,7.0,2.9620261197934683
87,2.0,2.0,46.0,4.0,3.0,2.0,8.0,0.41824285007130885
88,1.0,3.0,37.0,6.0,4.0,3.0,7.0,0.4109521959272251
89,1.0,2.0,46.0,3.0,6.0,3.0,9.0,0.4881578359812335
90,2.0,7.0,47.0,4.0,6.0,3.0,7.0,0.659259006506475
91,2.0,7.0,69.0,4.0,5.0,3.0,1.0,0.7182781721802994
92,2.0,7.0,35.0,5.0,3.0,3.0,6.0,0.9082807570720405
93,1.0,1.0,30.0,6.0,5.0,3.0,9.0,0.7592243612424803
94,2.0,3.0,44.0,1.0,5.0,4.0,7.0,1.1769333322468454
95,1.0,1.0,40.0,1.0,5.0,3.0,9.0,0.695800566912402
96,2.0,2.0,20.0,3.0,4.0,2.0,3.0,0.7646905317590975
97,2.0,1.0,19.0,5.0,2.0,1.0,3.0,1.0618124096941621
98,1.0,3.0,42.0,1.0,5.0,2.0,8.0,0.40146294238875685
99,1.0,3.0,44.0,4.0,5.0,3.0,8.0,0.23412711836049258
100,2.0,1.0,60.0,1.0,5.0,3.0,1.0,1.0687130911508451
101,2.0,4.0,77.0,7.0,4.0,3.0,1.0,0.8047815725904381
102,1.0,4.0,31.0,1.0,5.0,3.0,7.0,1.990357571953733
103,2.0,7.0,33.0,3.0,5.0,3.0,6.0,6.317312814469083
104,1.0,7.0,60.0,5.0,4.0,3.0,7.0,2.6695890538529485
105,2.0,1.0,45.0,5.0,5.0,3.0,7.0,1.7029719953142082
106,2.0,3.0,43.0,2.0,4.0,3.0,7.0,2.3581697618333006
107,1.0,3.0,76.0,1.0,5.0,3.0,1.0,1.0466178889392557
108,2.0,1.0,36.0,1.0,5.0,3.0,7.0,1.4204957823468085
109,1.0,4.0,52.0,5.0,5.0,2.0,8.0,0.3783495135825633
110,1.0,1.0,50.0,7.0,5.0,2.0,9.0,0.6506023043921222
111,2.0,3.0,38.0,8.0,3.0,3.0,9.0,1.5641820844996879
112,1.0,2.0,42.0,8.0,4.0,3.0,9.0,0.16375300686850908
113,2.0,3.0,72.0,2.0,4.0,3.0,2.0,0.7812731209119019
114,1.0,7.0,29.0,4.0,5.0,2.0,7.0,3.276581949571711
115,1.0,6.0,43.0,5.0,2.0,2.0,2.0,0.6957657064305626
116,1.0,2.0,32.0,7.0,5.0,3.0,7.0,0.5323925749996516
117,2.0,7.0,78.0,7.0,6.0,4.0,2.0,1.4800743319635525
118,2.0,3.0,63.0,1.0,4.0,3.0,1.0,1.1619186049481585
119,1.0,2.0,75.0,1.0,4.0,5.0,1.0,1.2589188099488084
120,2.0,1.0,63.0,1.0,5.0,3.0,1.0,1.0687130911508451
121,1.0,6.0,33.0,2.0,3.0,2.0,7.0,0.8010889225477243
122,1.0,3.0,40.0,3.0,5.0,3.0,7.0,0.7105627594226214
123,1.0,7.0,45.0,1.0,3.0,3.0,7.0,1.2340953081104011
124,2.0,7.0,28.0,7.0,5.0,3.0,6.0,0.8656623365216821
125,2.0,4.0,30.0,7.0,5.0,3.0,7.0,2.6652451080893877
126,2.0,1.0,39.0,6.0,4.0,3.0,7.0,0.3829261819381341
127,2.0,5.0,49.0,7.0,4.0,3.0,5.0,0.5377476388106479
128,2.0,5.0,46.0,6.0,4.0,3.0,7.0,0.8613244285280701
129,2.0,4.0,42.0,7.0,4.0,4.0,5.0,1.371922342142248
130,1.0,1.0,30.0,1.0,5.0,3.0,7.0,0.9081761631497366
131,2.0,3.0,52.0,3.0,5.0,3.0,7.0,2.312075594169012
